step,Energy,Magnet,acc,J
42000001,-1.19891,-0.99956,0.00035,1.19982
42100001,-1.19926,-0.9997,0.00053,1.19988
42200001,-1.19946,-0.99972,0.00035,1.19989
42300001,-1.19905,-0.99954,0.00037,1.19982
42400001,-1.1991,-0.99966,0.00048,1.19986
42500001,-1.19926,-0.99972,0.00043,1.19989
42600001,-1.19942,-0.99974,0.00037,1.1999
42700001,-1.19951,-0.99974,0.00028,1.1999
42800001,-1.1994,-0.9997,0.00028,1.19988
42900001,-1.19926,-0.9996,0.00037,1.19984
43000001,-1.19941,-0.99972,0.00032,1.19989
43100001,-1.19919,-0.99966,0.00031,1.19986
43200001,-1.19933,-0.99964,0.00027,1.19986
43300001,-1.19906,-0.99958,0.00033,1.19983
43400001,-1.19879,-0.99938,0.00042,1.19975
43500001,-1.1991,-0.99954,0.00044,1.19982
43600001,-1.19899,-0.99952,0.00035,1.19981
43700001,-1.19905,-0.99954,0.00035,1.19982
43800001,-1.19906,-0.99956,0.00043,1.19982
43900001,-1.19882,-0.99932,0.00048,1.19973
44000001,-1.19878,-0.99924,0.00052,1.1997
44100001,-1.19882,-0.99944,0.00052,1.19978
44200001,-1.19906,-0.99956,0.0004,1.19982
44300001,-1.1992,-0.99968,0.00038,1.19987
44400001,-1.19907,-0.9996,0.00034,1.19984
44500001,-1.19907,-0.99948,0.0005,1.19979
44600001,-1.19915,-0.99956,0.00032,1.19982
44700001,-1.19918,-0.99964,0.00042,1.19986
44800001,-1.19922,-0.99962,0.00039,1.19985
44900001,-1.19916,-0.99958,0.00044,1.19983
45000001,-1.19922,-0.9996,0.00037,1.19984
45100001,-1.19901,-0.99944,0.00042,1.19978
45200001,-1.1991,-0.99954,0.00037,1.19982
45300001,-1.19914,-0.99952,0.00035,1.19981
45400001,-1.19918,-0.99962,0.00035,1.19985
45500001,-1.19899,-0.99952,0.00035,1.19981
45600001,-1.19903,-0.9995,0.00047,1.1998
45700001,-1.1992,-0.99956,0.00045,1.19982
45800001,-1.19908,-0.9995,0.00043,1.1998
45900001,-1.19928,-0.99964,0.00031,1.19986
46000001,-1.19906,-0.99944,0.00028,1.19978
46100001,-1.19926,-0.99958,0.00037,1.19983
46200001,-1.19915,-0.99956,0.00039,1.19982
46300001,-1.19866,-0.9994,0.00048,1.19976
46400001,-1.19867,-0.99944,0.00044,1.19978
46500001,-1.19892,-0.99946,0.00043,1.19978
46600001,-1.19929,-0.99966,0.0003,1.19986
46700001,-1.19928,-0.99964,0.00025,1.19986
46800001,-1.19904,-0.99952,0.00038,1.19981
46900001,-1.19896,-0.99956,0.00038,1.19982
47000001,-1.19894,-0.99952,0.00046,1.19981
